iter	Passed	Remaining
407	5876	8526
408	5890	8511
409	5904	8496
410	5918	8481
411	5932	8466
412	5953	8461
413	5967	8446
414	5981	8431
415	5995	8416
416	6008	8400
417	6022	8385
418	6045	8383
419	6059	8368
420	6073	8352
421	6086	8337
422	6101	8322
423	6114	8306
424	6128	8292
425	6144	8278
426	6159	8264
427	6173	8249
428	6187	8235
429	6201	8220
430	6214	8204
431	6230	8191
432	6243	8175
433	6256	8159
434	6271	8146
435	6286	8131
436	6300	8117
437	6313	8100
438	6326	8085
439	6341	8070
440	6356	8057
441	6371	8044
442	6387	8030
443	6402	8017
444	6418	8004
445	6432	7990
446	6445	7974
447	6459	7959
448	6474	7945
449	6488	7930
450	6501	7914
451	6516	7900
452	6530	7885
453	6544	7870
454	6560	7857
455	6574	7842
456	6587	7827
457	6601	7811
458	6613	7795
459	6628	7781
460	6641	7765
461	6654	7749
462	6667	7733
463	6680	7717
464	6695	7703
465	6710	7690
466	6724	7675
467	6738	7659
468	6752	7644
469	6767	7630
470	6782	7617
471	6796	7602
472	6810	7587
473	6824	7573
474	6838	7558
475	6853	7544
476	6867	7529
477	6881	7515
478	6895	7499
479	6908	7484
480	6921	7468
481	6935	7453
482	6948	7437
483	6962	7422
484	6977	7408
485	6993	7396
486	7007	7381
487	7022	7367
488	7037	7353
489	7050	7337
490	7063	7322
491	7077	7307
492	7092	7293
493	7106	7278
494	7120	7264
495	7133	7248
496	7146	7233
497	7160	7218
498	7174	7203
499	7188	7188
500	7204	7175
501	7218	7160
502	7231	7145
503	7245	7130
504	7258	7114
505	7272	7099
506	7286	7084
507	7299	7069
508	7313	7054
509	7326	7039
510	7340	7024
511	7354	7009
512	7368	6995
513	7382	6980
514	7397	6967
515	7419	6959
516	7433	6944
517	7447	6930
518	7461	6915
519	7475	6900
520	7490	6886
521	7504	6871
522	7518	6856
523	7532	6842
524	7548	6829
525	7563	6815
526	7577	6801
527	7592	6787
528	7606	6772
529	7623	6760
530	7638	6746
531	7654	6734
532	7671	6721
533	7687	6708
534	7702	6694
535	7716	6680
536	7731	6666
537	7747	6653
538	7762	6639
539	7778	6626
540	7793	6612
541	7809	6599
542	7829	6589
543	7845	6576
544	7859	6561
545	7874	6547
546	7887	6532
547	7902	6517
548	7916	6502
549	7930	6488
550	7942	6472
551	7955	6456
